district,clus,hhid,netid,still,surv,crattgr,nattgr,numwgr,numdogr,detergent,mattress,bed,matground,hang,fold,country
1,101,101001,10100101,1,1,2,1,4,2,1,0,1,0,1,0,A
1,101,101001,10100102,1,1,2,1,4,2,1,1,0,0,1,1,A
1,101,101002,10100204,1,1,2,1,4,4,0,0,1,0,1,0,A
1,101,101002,10100203,1,0,2,1,4,4,0,0,0,1,1,0,A
1,101,101002,10100201,1,0,2,1,4,4,0,0,1,0,1,0,A
1,101,101003,10100301,1,1,2,2,4,1,0,0,1,0,1,1,A
1,101,101003,10100302,1,1,2,2,4,1,0,0,1,0,1,1,A
1,101,101004,10100402,1,1,1,1,4,4,9,NA,NA,NA,0,NA,A
1,101,101004,10100401,1,1,1,1,4,4,0,0,1,0,1,1,A
1,101,101005,10100502,1,1,2,2,4,4,0,0,1,0,1,1,A
1,101,101005,10100501,1,1,2,2,4,4,0,0,1,0,1,1,A
1,101,101006,10100601,1,1,2,2,4,1,0,0,1,0,1,1,A
1,101,101006,10100602,1,1,2,2,4,1,0,0,1,0,1,1,A
1,101,101007,10100702,1,1,2,2,4,4,0,0,1,0,1,1,A
1,101,101007,10100701,1,1,2,2,4,4,0,0,1,0,1,1,A
1,101,101007,10100703,1,1,2,2,4,4,0,0,1,0,1,1,A
1,101,101008,10100801,1,1,2,2,4,2,0,0,1,0,1,1,A
1,101,101008,10100802,1,1,2,2,4,2,0,0,0,1,1,1,A
1,101,101010,10101001,1,0,2,1,4,0,0,0,1,0,1,1,A
1,101,101010,10101002,1,1,2,1,4,0,9,NA,NA,NA,0,NA,A
1,101,101011,10101102,1,1,2,2,4,2,1,0,1,0,1,1,A
1,101,101011,10101103,0,NA,2,2,4,2,NA,NA,NA,NA,NA,NA,A
1,101,101011,10101101,1,1,2,2,4,2,1,0,1,0,1,1,A
1,101,101012,10101202,1,1,2,2,4,4,0,0,1,0,1,0,A
1,101,101012,10101201,1,1,2,2,4,4,0,0,1,0,1,0,A
1,101,101012,10101203,1,1,2,2,4,4,0,0,1,0,1,0,A
1,101,101013,10101302,1,1,1,1,4,4,0,1,0,0,1,1,A
1,101,101013,10101301,1,1,1,1,4,4,0,0,1,0,1,1,A
1,101,101014,10101403,1,1,2,2,4,1,0,0,1,0,1,1,A
1,101,101014,10101401,1,1,2,2,4,1,0,0,1,0,1,1,A
1,101,101014,10101402,1,1,2,2,4,1,0,0,1,0,1,1,A
1,102,102001,10200101,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102001,10200102,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102001,10200103,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102002,10200202,1,1,2,2,4,2,9,0,1,0,1,1,A
1,102,102002,10200203,1,1,2,2,4,2,9,1,0,0,1,1,A
1,102,102002,10200201,1,0,2,2,4,2,0,1,0,0,0,NA,A
1,102,102003,10200301,1,0,2,2,3,1,1,0,1,0,1,0,A
1,102,102004,10200402,0,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,A
1,102,102004,10200401,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102005,10200502,1,1,2,2,4,4,0,0,1,0,1,0,A
1,102,102005,10200503,1,1,2,2,4,4,0,0,1,0,1,0,A
1,102,102005,10200501,1,1,2,2,4,4,0,0,1,0,0,NA,A
1,102,102006,10200602,1,0,2,2,4,4,0,0,1,0,1,0,A
1,102,102006,10200601,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102008,10200802,1,1,2,2,4,1,0,0,1,0,1,0,A
1,102,102008,10200801,1,1,2,2,4,1,0,0,1,0,1,0,A
1,102,102009,10200901,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102009,10200904,1,0,2,2,4,4,0,0,1,0,1,1,A
1,102,102009,10200903,1,0,2,2,4,4,0,0,0,1,1,1,A
1,102,102009,10200902,1,1,2,2,4,4,0,0,1,0,0,NA,A
1,102,102010,10201003,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102010,10201002,1,1,2,2,4,4,0,0,1,0,0,NA,A
1,102,102010,10201001,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102011,10201102,0,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,A
1,102,102011,10201101,1,1,2,2,4,4,0,0,1,0,1,1,A
1,102,102012,10201201,1,1,1,2,4,1,0,0,1,0,1,1,A
1,102,102012,10201202,1,1,1,2,4,1,9,0,1,0,1,1,A
1,102,102013,10201301,1,1,2,1,4,1,0,0,1,0,1,1,A
1,102,102013,10201303,1,1,2,1,4,1,0,0,1,0,1,1,A
1,102,102013,10201302,1,1,2,1,4,1,0,0,1,0,1,1,A
1,102,102014,10201402,0,NA,2,2,4,1,NA,NA,NA,NA,NA,NA,A
1,102,102014,10201401,1,1,2,2,4,1,0,0,1,0,1,0,A
1,103,103001,10300102,1,1,2,2,4,1,0,1,0,0,1,1,A
1,103,103001,10300103,1,1,2,2,4,1,0,1,0,0,1,1,A
1,103,103001,10300101,1,1,2,2,4,1,0,0,1,0,1,1,A
1,103,103002,10300201,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103002,10300202,0,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,A
1,103,103002,10300203,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103002,10300204,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103003,10300301,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103003,10300302,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103005,10300501,1,1,2,0,4,4,0,0,0,1,1,0,A
1,103,103005,10300502,1,1,2,0,4,4,0,1,0,0,1,1,A
1,103,103006,10300602,0,NA,2,1,4,4,NA,NA,NA,NA,NA,NA,A
1,103,103007,10300702,1,1,2,2,4,4,0,0,1,0,1,0,A
1,103,103007,10300701,0,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,A
1,103,103008,10300803,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103008,10300802,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103008,10300801,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103009,10300901,1,1,2,1,4,4,0,1,0,0,1,1,A
1,103,103010,10301001,1,0,2,2,4,4,0,0,1,0,1,1,A
1,103,103010,10301002,1,1,2,2,4,4,0,0,1,0,1,1,A
1,103,103011,10301103,1,1,2,2,4,2,0,0,1,0,1,1,A
1,103,103011,10301102,1,1,2,2,4,2,0,0,1,0,1,1,A
1,103,103012,10301201,1,1,2,1,4,4,0,0,1,0,1,1,A
1,103,103012,10301203,1,0,2,1,4,4,0,0,1,0,1,1,A
1,103,103012,10301202,1,1,2,1,4,4,0,0,1,0,1,1,A
1,103,103013,10301302,1,0,2,2,4,4,0,0,0,1,1,1,A
1,103,103013,10301303,1,0,2,2,4,4,0,0,1,0,1,1,A
1,103,103014,10301401,1,0,2,2,4,2,0,1,0,0,1,1,A
1,103,103014,10301402,1,1,2,2,4,2,0,0,1,0,1,1,A
1,104,104001,10400102,1,1,2,2,4,1,0,0,1,0,1,1,A
1,104,104001,10400101,0,NA,2,2,4,1,NA,NA,NA,NA,NA,NA,A
1,104,104002,10400203,1,1,2,2,4,1,0,1,0,0,1,0,A
1,104,104002,10400202,1,1,2,2,4,1,0,0,1,0,1,0,A
1,104,104002,10400201,1,1,2,2,4,1,0,1,0,0,1,0,A
1,104,104003,10400301,1,1,1,2,4,4,0,0,1,0,1,1,A
1,104,104003,10400302,1,1,1,2,4,4,0,0,1,0,1,1,A
1,104,104004,10400403,1,1,2,2,4,2,0,1,0,0,1,1,A
1,104,104004,10400401,1,1,2,2,4,2,0,0,1,0,1,1,A
1,104,104004,10400402,1,1,2,2,4,2,0,1,0,0,1,1,A
1,104,104005,10400503,1,1,2,2,4,1,0,0,1,0,1,1,A
1,104,104005,10400502,1,1,2,2,4,1,0,0,1,0,1,1,A
1,104,104005,10400501,1,1,2,2,4,1,0,0,1,0,0,NA,A
1,104,104006,10400601,1,0,2,2,4,2,0,1,0,0,1,1,A
1,104,104006,10400602,1,1,2,2,4,2,0,0,1,0,1,1,A
1,104,104006,10400603,1,0,2,2,4,2,0,0,1,0,1,1,A
1,104,104007,10400702,1,1,2,2,4,4,0,0,1,0,1,1,A
1,104,104007,10400701,1,1,2,2,4,4,0,0,1,0,0,NA,A
1,104,104008,10400802,1,1,2,2,4,4,0,0,1,0,1,1,A
1,104,104008,10400801,1,1,2,2,4,4,0,0,1,0,1,1,A
1,104,104009,10400902,1,1,2,2,2,1,1,0,1,0,1,1,A
1,104,104009,10400901,1,1,2,2,2,1,1,0,1,0,1,1,A
1,104,104010,10401001,1,1,2,2,4,1,0,0,1,0,1,1,A
1,104,104010,10401002,0,NA,2,2,4,1,NA,NA,NA,NA,NA,NA,A
1,104,104011,10401102,1,1,2,2,4,2,0,0,1,0,1,1,A
1,104,104011,10401101,1,1,2,2,4,2,0,0,1,0,1,1,A
1,104,104012,10401202,0,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,A
1,104,104013,10401301,1,1,2,2,4,4,0,1,0,0,1,0,A
1,104,104013,10401302,1,1,2,2,4,4,0,0,1,0,1,0,A
1,104,104014,10401403,1,1,2,2,2,0,0,0,1,0,1,1,A
1,104,104014,10401401,1,0,2,2,2,0,1,0,1,0,1,0,A
1,104,104014,10401402,1,1,2,2,2,0,0,0,1,0,1,1,A
1,105,105001,10500102,1,1,2,2,4,4,0,0,1,0,1,0,A
1,105,105001,10500101,1,1,2,2,4,4,0,0,1,0,1,1,A
1,105,105003,10500302,1,1,2,2,4,4,1,0,1,0,1,0,A
1,105,105003,10500301,1,1,2,2,4,4,1,0,1,0,1,0,A
1,105,105004,10500402,1,1,2,2,4,4,0,0,1,0,1,1,A
1,105,105004,10500401,1,1,2,2,4,4,0,0,1,0,1,1,A
1,105,105004,10500403,0,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,A
1,105,105005,10500503,1,1,2,2,4,4,0,0,1,0,1,1,A
1,105,105005,10500501,1,1,2,2,4,4,0,1,0,0,1,1,A
1,105,105005,10500502,1,1,2,2,4,4,0,0,1,0,1,1,A
1,105,105005,10500504,0,NA,2,2,4,4,NA,NA,NA,NA,NA,NA,A
1,105,105006,10500601,1,1,2,2,4,1,0,1,0,0,1,1,A
1,105,105006,10500602,1,0,2,2,4,1,0,0,1,0,1,1,A
1,105,105007,10500702,1,1,2,2,4,4,0,0,1,0,1,1,A
1,105,105007,10500701,1,1,2,2,4,4,0,0,1,0,1,1,A
1,105,105008,10500801,1,1,2,2,4,2,0,0,1,0,1,0,A
1,105,105008,10500802,1,1,2,2,4,2,1,0,1,0,1,0,A
1,105,105009,10500901,1,1,1,1,4,0,0,0,1,0,1,1,A
